Date,Messages
2022-03-17,150
2022-03-18,0
2022-03-19,0
2022-03-20,0
2022-03-21,0
2022-03-22,0
2022-03-23,0
2022-03-24,31
2022-03-25,22
2022-03-26,0
2022-03-27,19
2022-03-28,101
2022-03-29,0
2022-03-30,3
2022-03-31,0
2022-04-01,0
2022-04-02,0
2022-04-03,0
2022-04-04,0
2022-04-05,0
2022-04-06,29
2022-04-07,0
2022-04-08,0
2022-04-09,0
2022-04-10,0
2022-04-11,0
2022-04-12,0
2022-04-13,0
2022-04-14,0
2022-04-15,0
2022-04-16,0
2022-04-17,12
2022-04-18,23
2022-04-19,0
2022-04-20,0
2022-04-21,24
2022-04-22,1
2022-04-23,12
2022-04-24,20
2022-04-25,0
2022-04-26,0
2022-04-27,77
2022-04-28,94
2022-04-29,76
2022-04-30,167
2022-05-01,48
2022-05-02,214
2022-05-03,214
2022-05-04,22
2022-05-05,181
2022-05-06,55
2022-05-07,171
2022-05-08,32
2022-05-09,371
2022-05-10,68
2022-05-11,133
2022-05-12,48
2022-05-13,35
2022-05-14,136
2022-05-15,84
2022-05-16,83
2022-05-17,97
2022-05-18,380
2022-05-19,182
2022-05-20,56
2022-05-21,77
2022-05-22,252
2022-05-23,97
2022-05-24,61
2022-05-25,56
2022-05-26,56
2022-05-27,26
2022-05-28,77
2022-05-29,103
2022-05-30,134
2022-05-31,198
2022-06-01,91
2022-06-02,87
2022-06-03,155
2022-06-04,165
2022-06-05,99
2022-06-06,63
2022-06-07,40
2022-06-08,0
2022-06-09,0
2022-06-10,29
2022-06-11,32
2022-06-12,54
2022-06-13,62
2022-06-14,193
2022-06-15,187
2022-06-16,75
2022-06-17,154
2022-06-18,242
2022-06-19,109
2022-06-20,39
2022-06-21,0
2022-06-22,44
2022-06-23,78
2022-06-24,79
2022-06-25,48
2022-06-26,188
2022-06-27,67
2022-06-28,72
2022-06-29,225
2022-06-30,121
2022-07-01,115
2022-07-02,90
2022-07-03,24
2022-07-04,20
2022-07-05,3
2022-07-06,0
2022-07-07,5
2022-07-08,0
2022-07-09,15
2022-07-10,9
2022-07-11,0
2022-07-12,19
2022-07-13,80
2022-07-14,71
2022-07-15,104
2022-07-16,39
2022-07-17,24
2022-07-18,106
2022-07-19,57
2022-07-20,127
2022-07-21,0
2022-07-22,5
2022-07-23,21
2022-07-24,52
2022-07-25,121
2022-07-26,41
2022-07-27,156
2022-07-28,140
2022-07-29,137
2022-07-30,68
2022-07-31,146
2022-08-01,82
2022-08-02,233
2022-08-03,147
2022-08-04,142
2022-08-05,120
2022-08-06,81
2022-08-07,66
2022-08-08,118
2022-08-09,44
2022-08-10,0
2022-08-11,3
2022-08-12,0
2022-08-13,43
2022-08-14,180
2022-08-15,82
2022-08-16,142
2022-08-17,148
2022-08-18,177
2022-08-19,203
2022-08-20,38
2022-08-21,98
2022-08-22,0
2022-08-23,1
2022-08-24,0
2022-08-25,1
2022-08-26,63
2022-08-27,78
2022-08-28,106
2022-08-29,148
2022-08-30,146
2022-08-31,131
2022-09-01,139
2022-09-02,84
2022-09-03,86
2022-09-04,39
2022-09-05,46
2022-09-06,71
2022-09-07,93
2022-09-08,174
2022-09-09,42
2022-09-10,93
2022-09-11,100
2022-09-12,76
2022-09-13,71
2022-09-14,13
2022-09-15,61
2022-09-16,94
2022-09-17,31
2022-09-18,37
2022-09-19,45
2022-09-20,36
2022-09-21,72
2022-09-22,170
2022-09-23,100
2022-09-24,47
2022-09-25,69
2022-09-26,67
2022-09-27,99
2022-09-28,90
2022-09-29,54
2022-09-30,47
2022-10-01,88
2022-10-02,67
2022-10-03,88
2022-10-04,58
2022-10-05,74
2022-10-06,72
2022-10-07,36
2022-10-08,47
2022-10-09,99
2022-10-10,81
2022-10-11,62
2022-10-12,75
2022-10-13,30
2022-10-14,78
